               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.054285,            0.038237,            0.022421,             0.75448,             0.29255,             0.34209,             0.16308,            0.053432,            0.023346,            0.024594,             0.00208,             0.00208,             0.00208
                  82,            0.054145,            0.038467,            0.021767,              0.7826,             0.29108,             0.36061,             0.17825,            0.051669,            0.022614,             0.02356,            0.001981,            0.001981,            0.001981
                  83,            0.053772,            0.038159,            0.022561,             0.57206,             0.45804,              0.3854,             0.18372,            0.052356,            0.022751,            0.023345,            0.001882,            0.001882,            0.001882
                  84,            0.053531,            0.037837,            0.022813,             0.50488,             0.35279,             0.34639,             0.17595,            0.050919,            0.022891,            0.023555,            0.001783,            0.001783,            0.001783
                  85,            0.054002,            0.038252,            0.021618,             0.74783,             0.27294,             0.33052,             0.16712,            0.052884,            0.023905,            0.025256,            0.001684,            0.001684,            0.001684
                  86,            0.052851,            0.035657,            0.021574,             0.79719,             0.27704,             0.37104,             0.17855,            0.051253,            0.023344,             0.02399,            0.001585,            0.001585,            0.001585
                  87,            0.054773,            0.038159,            0.022256,             0.77149,             0.28353,             0.35983,             0.17169,            0.051931,            0.022786,            0.025075,            0.001486,            0.001486,            0.001486
                  88,            0.052286,             0.03997,            0.020602,             0.75421,             0.27937,             0.35273,             0.16255,            0.052248,            0.022565,            0.024572,            0.001387,            0.001387,            0.001387
                  89,            0.053318,            0.038078,            0.021438,             0.76083,             0.30492,             0.37113,             0.17849,            0.051603,            0.022448,            0.023718,            0.001288,            0.001288,            0.001288
                  90,            0.052463,            0.038067,            0.021471,             0.31644,             0.45341,             0.37034,             0.18675,            0.051361,             0.02267,            0.022998,            0.001189,            0.001189,            0.001189
                  91,            0.053326,            0.036739,            0.021599,             0.33018,             0.42428,             0.35839,             0.17504,            0.051732,            0.023226,            0.023014,             0.00109,             0.00109,             0.00109
                  92,            0.052722,            0.039405,            0.021227,             0.35177,             0.41853,             0.37247,             0.17961,            0.050528,            0.023004,            0.023071,            0.000991,            0.000991,            0.000991
                  93,            0.053191,            0.040044,            0.021145,             0.76015,             0.25637,             0.33124,             0.16451,            0.051893,            0.023118,            0.023502,            0.000892,            0.000892,            0.000892
                  94,            0.053253,            0.035856,            0.022143,             0.77411,             0.29054,             0.36514,             0.17956,            0.051131,            0.022685,            0.022891,            0.000793,            0.000793,            0.000793
                  95,            0.052358,            0.039609,            0.021169,             0.80537,             0.28289,             0.37961,             0.18572,            0.050357,            0.022834,            0.023291,            0.000694,            0.000694,            0.000694
                  96,            0.051806,            0.036681,            0.020427,             0.78828,             0.28672,             0.38505,             0.18474,            0.050778,             0.02301,            0.023588,            0.000595,            0.000595,            0.000595
                  97,            0.051945,            0.037614,            0.021459,             0.57116,             0.37509,             0.37925,             0.18406,            0.050943,            0.022783,            0.023272,            0.000496,            0.000496,            0.000496
                  98,            0.051552,            0.036678,             0.01999,             0.59152,             0.40639,             0.38716,             0.19309,            0.050102,            0.022687,            0.022308,            0.000397,            0.000397,            0.000397
                  99,            0.051783,            0.039061,            0.021148,             0.36348,             0.41309,             0.39121,             0.18901,            0.050367,            0.022677,            0.022459,            0.000298,            0.000298,            0.000298
